id;rate;temp;cv
101;40;194,2196195;490673,7429
101;40;196,2693237;497043,5282
101;40;198,3183492;506861,2347
101;40;200,3667469;519868,2684
101;40;202,41573;529901,47
101;40;204,4653239;536831,5425
101;40;206,5148754;543977,1101
101;40;208,564096;552803,5393
101;40;210,6116963;569861,8804
101;40;212,658058;593212,6778
101;40;214,7000846;638587,0722
101;40;216,7388959;700295,9935
101;40;218,7814485;742998,2489
101;40;220,829159;759496,3028
101;40;222,8768102;776296,0499
101;40;224,924894;790897,7471
101;40;226,9761761;789251,1155
101;40;229,0261518;794241,7323
101;40;231,0741932;809058,9247
101;40;233,1244319;812713,472
101;40;235,1748402;815506,039
101;40;237,2249431;819850,1705
101;40;239,2758095;820315,3907
101;40;241,3260821;823797,5419
101;40;243,3751924;833184,2583
101;40;245,4253293;837355,9938
101;40;247,4741257;848337,3738
101;40;249,5240759;853457,2876
101;40;251,5739158;859137,4886
101;40;253,6236624;865291,7788
101;40;255,673655;870196,1976
101;40;257,7231217;877772,7553
101;40;259,7731313;882590,9761
101;40;261,8234632;885771,4342
101;40;263,8723106;896494,2201
101;40;265,9219214;903338,0945
101;40;267,9728218;903630,9186
101;40;270,0229247;907975,0502
101;40;272,0706013;924645,5002
101;40;274,1219089;922869,5715
101;40;276,1723342;925575,9405
101;40;278,2213873;935253,5752
101;40;280,2718189;937927,6199
101;40;282,3207426;948262,5146
101;40;284,3710576;951529,1708
101;40;286,4204224;959622,9167
101;40;288,4700588;966337,4941
101;40;290,5216378;963182,397
101;40;292,570536;973646,5887
101;40;294,619587;983334,9982
101;40;296,6696475;987894,6249
101;40;298,7190887;995600,4796
101;40;300,7689116;1001366,879
101;40;302,8176402;1012693,051
101;40;304,8694568;1008331,181
101;40;306,9211716;1004486,5
101;40;308,9695014;1017838,326
101;40;311,0191886;1024294,309
101;40;313,0694442;1027862,658
101;40;315,1213541;1023026,699
101;40;317,1727805;1020647,385
101;40;319,2256151;1011113,633
101;40;321,2752768;1017698,913
101;40;323,324981;1024068,699
101;40;325,3740998;1033412,316
101;40;327,4276301;1020344,445
101;40;329,4776312;1025205,765
101;40;331,5288879;1023688,431
101;40;333,5777946;1034109,523
101;40;335,6278042;1038927,744
101;40;337,681538;1024825,497
101;40;339,7301987;1036496,461
101;40;341,7800387;1042176,662
101;40;343,8303791;1045314,021
101;40;345,880236;1050908,024
101;40;347,9303304;1055295,255
101;40;349,9820706;1051321,276
101;40;352,030163;1065879,875
101;40;354,0813433;1064750,431
101;40;356,1312256;1070215,137
101;40;358,1818375;1071973,328
101;40;360,2311175;1080498,064
101;40;362,2814665;1083592,324
101;40;364,3326722;1082333,584
101;40;366,382597;1087582,794
101;40;368,4334973;1087875,619
101;40;370,4829385;1095581,473
101;40;372,5323543;1103416,625
101;40;374,5838315;1100778,716
101;40;376,6341211;1104174,669
101;40;378,6831381;1114035,475
101;40;380,7329695;1119758,775
101;40;382,7847182;1115741,698
101;40;384,8342103;1123188,958
101;40;386,8838382;1129946,635
101;40;388,9338053;1134980,35
101;40;390,9856219;1130618,481
101;40;393,035903;1134057,533
101;40;395,0858701;1139091,249
101;40;397,1367959;1139254,776
101;40;399,1859402;1148469,096
101;40;401,2369084;1148417,128
101;40;403,2867229;1154226,626
101;40;405,3367664;1158872,451
101;40;407,3872596;1161234,028
101;40;409,436073;1172129,21
101;40;411,4873127;1170698,073
101;40;413,5402152;1160819,53
101;40;415,5880869;1176498,702
101;40;417,6367306;1188255,865
101;40;419,6899216;1176911,954
101;40;421,7397784;1182505,957
101;40;422,947934;1201679,779
102;30;195,8959045;499674,1807
102;30;197,7794569;508166,112
102;30;201,950648;524593,687
102;30;204,4647131;539934,6716
102;30;206,5134954;550987,8833
102;30;208,5613643;566681,4223
102;30;210,6078108;589601,2295
102;30;212,6530272;618770,3941
102;30;214,4183308;649142,153
102;30;217,6706922;702619,3089
102;30;219,7157729;732478,0577
102;30;221,7622109;755440,964
102;30;223,8098027;772542,4042
102;30;225,765232;784243,9408
102;30;227,9073871;794548,2631
102;30;230,2831619;802026,437
102;30;232,0068124;807201,6356
102;30;233,2183869;809006,5535
102;30;236,3860922;818948,7194
102;30;240,0203914;826518,4238
102;30;241,8839463;831356,6059
102;30;244,9588109;839344,8741
102;30;247,8474347;846267,0085
102;30;250,7349717;858710,1267
102;30;253,5704489;864996,4731
102;30;255,0210091;870543,8117
102;30;258,4680308;882313,3979
102;30;261,8225301;890512,3259
102;30;264,027856;895631,5678
102;30;265,4565507;899497,1146
102;30;268,9038885;909660,7494
102;30;271,2643371;916065,1068
102;30;272,8587141;920193,3197
102;30;275,0533489;927003,0456
102;30;276,8238879;930777,3247
102;30;279,3862695;937462,7479
102;30;281,2404456;942586,7408
102;30;283,359424;948849,0948
102;30;285,0230843;954327,7849
102;30;287,7252987;961039,5403
102;30;289,9846912;967758,598
102;30;291,5453542;972137,1703
102;30;294,1023569;979836,6401
102;30;295,8309522;986203,0252
102;30;298,2067623;993501,6199
102;30;299,7440256;998354,3821
102;30;302,44624;1005066,138
102;30;304,4431185;1009170,376
102;30;306,5466494;1012720,024
102;30;308,4417697;1015067,907
102;30;310,6476442;1017400,079
102;30;312,6984852;1017994,596
102;30;314,7493092;1018675,311
102;30;316,5205693;1018786,174
102;30;318,8508554;1020553,93
102;30;320,9014843;1022225,923
102;30;325,0031153;1023673,551
102;30;327,1936344;1025080,958
102;30;328,265692;1025254,105
102;30;331,2485212;1027196,822
102;30;333,9515362;1029841,108
102;30;335,6291288;1032198,141
102;30;338,052005;1037193,302
102;30;340,2575261;1041321,266
102;30;342,5666366;1045420,05
102;30;344,6375666;1049203,805
102;30;347,2784914;1051543,075
